"title","Fund Owners","description","marketing_content","marketing_content_expiration","allocation_code","suggested_amount","featured_fund","active","campus","keywords","interest"
"Ziemer Family Engineering Endowed Scholarship Fund","jhusman@uccs.edu","To provide scholarship awards for students enrolled in the College of Engineering and Applied Science at UCCS. First preference given to students majoring in electrical engineering.
","","Monday, March 8, 2021","0450132","","0","1","UCCS","College of Engineering and Applied Science","Scholarships & Student Success"
"Warrick Endowment for Leadership, Teaching, and Culture","jhusman@uccs.edu","To provide support for a professorship in the Management Department in the College of Business at UCCS in honor of Dr. Warrick. The goal for this fund is to reach endowment level and support a professorship within five years after establishment.
","","Monday, March 8, 2021","0421026","","0","1","UCCS","College of Business",""
"Sam Sorkin Memorial Fund","Jill.White@colorado.edu","To provide support for mental health initiatives for students enrolled in the Law School at the University of Colorado Boulder in memory of Sam Sorkin.
","","Wednesday, March 3, 2021","0121414","","0","1","CU Boulder","School of Law","Health & Wellness"
"Changing the Face of Real Estate Scholarship Fund","Beverly.Coody@Colorado.EDU","To provide undergraduate scholarship awards for students studying real estate in the Leeds School of Business at the University of Colorado Boulder, and entering their junior year and participate in the Diverse Scholars Program.
","","Wednesday, March 3, 2021","0121525","","0","1","CU Boulder","Leeds School of Business","Scholarships & Student Success"
"Diana Kennedy Memorial Fund for Alzheimer's Research","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for Alzheimer's research at the Alzheimer's and Cognition Center in the Department of Neurology at the University of Colorado Anschutz Medical Campus.
","","Tuesday, March 2, 2021","0221346","","0","1","CU Anschutz","",""
"Todd Arcomano, MD Memorial Fund","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for the University of Colorado Anschutz Medical Campus in memory of Dr. Todd Arcomano.
","","Monday, March 1, 2021","0221336","","0","1","CU Anschutz","",""
"Brockway-Ferguson Endowed Pre-Health Student Support Fund","MONICA.CUTLER@UCDENVER.EDU","To provide undergraduate scholarship support for students enrolled in pre-health programs in the College of Liberal Arts and Sciences at the University of Colorado Denver.
","","Thursday, February 25, 2021","0350059","","0","1","CU Denver","College of Engineering, Design and Computing","Scholarships & Student Success"
"Garrison Roots Graduate Scholarship Fund in Sculpture","Christine.HerreraODell@Colorado.EDU","To provide graduate scholarships for students enrolled in the College of Arts and Sciences at the University of Colorado Boulder and majoring in sculpture studies in the Department of Art and Art History.
","","Thursday, February 25, 2021","0125986","","0","1","CU Boulder","College of Arts and Sciences, Art and Art History","Scholarships & Student Success"
"CU Art Museum Diversity Acquisition Fund","Christine.HerreraODell@Colorado.EDU","To support the acquisition of artworks by historically underrepresented artists at UCB. Underrepresented artists may include artists of color, artists with disabilities and LGBTQ+ artists. If $25,000 is reached, the fund will convert to an endowment.
","","Monday, February 22, 2021","0121470","","0","0","CU Boulder","College of Arts and Sciences, CU Art Museum","Arts & Culture"
"Konrad Steffen Climate Legacy Fund","Eric.Horner@Colorado.EDU","To provide general operating support for the Cooperative Institute for Research in Environmental Sciences (CIRES) at the University of Colorado Boulder. If $50,000 is reached, the fund will convert to a quasi-endowment.
","Professor Steffen was Director of the Swiss Federal Institute for Forest, Snow and Landscape Research (WSL) and a former director of the Cooperative Institute for Research in Environmental Sciences at the University of Colorado at Boulder (2005-2012). Steffen, a professor of Geography at CU Boulder from 1990 to 2012, devoted his career to research on the Arctic and Antarctic, and how these critical components of the climate system have responded and influence climate change. His scientific work, fueled by intense curiosity and care, inspired an amazing range of important work by others. This fund will propel the next generation of research at CIRES.
","","0121176","","0","1","CU Boulder","Cooperative Institute for Research in Environmental Sciences (CIRES)","Science, Research & Innovation"
"CUltivate Undergraduate String Scholarship Fund","Caitlin.Stokes@Colorado.EDU","To provide undergraduate scholarship awards for students enrolled in the Strings Department in the College of Music at the University of Colorado Boulder.
","","Tuesday, February 16, 2021","0121346","","0","1","CU Boulder","College of Music, Strings","Arts & Culture"
"Lambda Liberation Endowed Scholarship Fund","lisa.parks@Colorado.EDU","To provide scholarship awards for students enrolled in the Law School at the University of Colorado Boulder who actively support the LGBTQ community and who seek to make Colorado Law a more welcoming and inclusive environment.
","","Wednesday, February 10, 2021","0151683","","0","1","CU Boulder","School of Law","Scholarships & Student Success"
"First Generation and Multi-Cultural Business Program Fund","MONICA.CUTLER@UCDENVER.EDU","To provide discretionary support for a first-generation and multi-cultural business program in the Business School at CU Denver. If $250,000 is reached, the fund will convert to an endowment.
","","Friday, February 5, 2021","0321005","","0","1","CU Denver","Business School","Scholarships & Student Success"
"The Mathematics Academic Resource Center Fund","Jeanie.Hunter@Colorado.EDU","To provide discretionary support to the Mathematics Academic Resource Center in the Department of Mathematics at the University of Colorado Boulder, at the discretion of the department chair.
","","Friday, February 5, 2021","0121316","","0","1","CU Boulder","College of Arts and Sciences, Mathematics",""
"CU LEAD Student Diversity Support Fund","mignon.macias@colorado.edu","To provide support for students participating in the CU LEAD Alliance academic neighborhoods and provide them with financial support to cover tuition, fees and other related costs necessary to ensure the attainment of their academic pursuits at UCB.
","","","0122990","","0","1","CU Boulder","Office of Diversity, Equity, and Community Engagement, CU-LEAD","Scholarships & Student Success"
"CU Boulder Trailblazer Student Support Fund","mignon.macias@colorado.edu","To provide scholarship support to students who are ASSET eligible or otherwise ineligible for Federal and State financial aid enrolled at CU Boulder. Preference given to students from households in which English is not the primary language.
","","Thursday, February 4, 2021","0125211","","0","1","CU Boulder","Office of Diversity, Equity, and Community Engagement","Scholarships & Student Success"
"J. Daniel Couger Memorial Scholarship Fund","jhusman@uccs.edu","To provide undergraduate scholarship awards for students enrolled at the University of Colorado Colorado Springs and majoring in Information Systems in the College of Business and/or Computer Security in the College of Engineering and Applied Science.
","","Wednesday, January 27, 2021","0421632","","0","1","UCCS","College of Business, College of Engineering and Applied Science","Scholarships & Student Success"
"School of Medicine Class of 1973 Scholarship Fund","MARJORIE.OROURKE@CUANSCHUTZ.EDU","To provide scholarship awards for medical students enrolled in the School of Medicine at the University of Colorado Anschutz Medical Campus. Scholarships are merit and need based, will be awarded for one academic year, and are renewable.
","","Thursday, January 21, 2021","0223379","","0","1","CU Anschutz","School of Medicine","Scholarships & Student Success"
"Computing Diversity Fund","Shayla.DeYoung@colorado.edu","To provide support to promote diversity programming in the Department of Computer Science at the University of Colorado Boulder, to include student support and student enrichment experiences.
","","Thursday, January 14, 2021","0121223","","0","1","CU Boulder","College of Engineering and Applied Science","Scholarships & Student Success"
"Art and Art History Diversity, Equity & Inclusion Endowed Scholarship Fund","Christine.HerreraODell@Colorado.EDU","To provide scholarship awards for students enrolled in the Department of Art and Art History who help diversify the student body and/or instill the principles of inclusiveness in the Department at the University of Colorado Boulder.
","","Thursday, January 14, 2021","0151677","","0","1","CU Boulder","College of Arts and Sciences, Art and Art History","Scholarships & Student Success"
"University of Colorado Crew Endowment","","To provide support for Club Crew at the University of Colorado Boulder.
","By giving to this fund you are helping to provide the best possible experience for present and future Colorado rowers. Each season we budget for equipment, coaching, regatta expenses, and much more. Since we are a primarily student-funded program we appreciate and rely on your donations big and small.
","","0150958","","0","1","CU Boulder","","Athletics & Recreation"
"Daniel J. Reed Endowed Memorial Scholarship Fund","Shayla.DeYoung@colorado.edu","To provide undergraduate scholarship awards for students in the College of Engineering and Applied Science at the University of Colorado Boulder.
","","Thursday, January 7, 2021","0151670","","0","1","CU Boulder","College of Engineering and Applied Science","Scholarships & Student Success"
"Beverly Brunson Pharmacy Diversity Scholarship Fund","CHRISTIAN.L.MORENO@CUANSCHUTZ.EDU","To provide support for scholarships awards for diverse students enrolled in the Skaggs School of Pharmacy and Pharmaceutical Sciences at the University of Colorado Anschutz Medical Campus, in honor of Beverly Brunson's dedicated service.
","","Monday, January 4, 2021","0221080","","0","1","CU Anschutz","Skaggs School of Pharmacy and Pharmaceutical Sciences","Scholarships & Student Success"
"Mental Health and Wellness Support Fund","MONICA.CUTLER@UCDENVER.EDU","To provide support for mental health and wellness initiatives at the University of Colorado Denver.
","","Friday, December 18, 2020","0321003","","0","1","CU Denver","","Health & Wellness"
"Daniel J. Schler Endowed Fund","MONICA.CUTLER@UCDENVER.EDU","To provide awards for students enrolled in the College of Architecture and Planning at the University of Colorado Denver who are participating in the University Technical Assistance Program (UTAP) or directly related work.
","","Friday, December 18, 2020","0350166","","0","1","CU Denver","College of Architecture and Planning","Scholarships & Student Success"
"Mark L. Laudenslager, PhD Memorial Fund","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for the Department of Psychiatry in the School of Medicine at the University of Colorado Anschutz Medical Campus.
","","Thursday, December 17, 2020","0221075","","0","1","CU Anschutz","",""
"Dr. Peter Kabos Breast Cancer Research Fund","KAILYN.GRAMLY@CUANSCHUTZ.EDU","To provide support for breast cancer research under the direction of Dr. Peter Kabos at the University of Colorado Anschutz Medical Campus.
","","Tuesday, December 15, 2020","0222776","","0","1","CU Anschutz","School of Medicine, Medicine","Science, Research & Innovation"
"A Queer Endeavor Kelley Therese Wylder Anderson Scholarship Fund","Grace.Maniscalco@Colorado.EDU","To provide grad and/or undergrad scholarship awards for students enrolled in the School of Education who plan to do research and/or teaching focused on education equity, justice and anti-oppression at UCB. If $25,000 is reached, the fund will be endowed.
","Click here to learn more about Kelley Therese Wylder Anderson and this scholarship >
","","0121130","","0","1","CU Boulder","School of Education","Scholarships & Student Success"
"Onye Ozuzu Scholarship Fund in Dance","Christine.HerreraODell@Colorado.EDU","To provide support for graduate scholarship awards for students in the Master of Fine Arts in Dance program at the University of Colorado Boulder. If $25,000 is reached, the fund will convert to an endowment.
","Learn more about Theater and Dance >
","","0126088","","0","1","CU Boulder","College of Arts and Sciences, Theatre and Dance, Graduate School","Arts & Culture, Scholarships & Student Success"
"John Williamson Endowed Memorial Scholarship Fund","Jeanie.Hunter@Colorado.EDU","To provide undergraduate or graduate scholarship awards for students enrolled in the Department of Applied Mathematics in the College of Arts and Sciences at the University of Colorado Boulder.
","Distributions from this fund will be used to provide undergraduate or graduate scholarship awards for students enrolled in the Department of Applied Mathematics. Scholarship recipients will be selected in accordance with established procedures for awarding scholarships. Scholarships will be awarded for one academic year and are renewable based on criteria established by the University. Students who are eligible to receive services from the University’s Disability Services are encouraged to apply.
","","0151310","","0","1","CU Boulder","College of Arts and Sciences, Applied Mathematics",""
"Grant Kinn Memorial Scholarship Fund","CHRISTIAN.L.MORENO@CUANSCHUTZ.EDU","To provide scholarship awards for students enrolled in the Skaggs School of Pharmacy and Pharmaceutical Sciences at the University of Colorado Anschutz Medical Campus.
","","Tuesday, December 8, 2020","0221055","","0","1","CU Anschutz","Skaggs School of Pharmacy and Pharmaceutical Sciences","Scholarships & Student Success"
"Rubin Rabinovitz Memorial Scholarship Fund","Christine.HerreraODell@Colorado.EDU","To provide one scholarship of at least $1,000 annually to a student majoring in the Humanities at the University of Colorado Boulder in memory of Rubin Rabinovitz.
","","Tuesday, December 8, 2020","0150493","","0","1","CU Boulder","College of Arts and Sciences, Humanities","Scholarships & Student Success"
"UCCS Honors Program Gray Matters and Complex Systems Fund","jhusman@uccs.edu","To provide support for students enrolled in the University of Colorado Colorado Springs (UCCS) Honors Program and for Honors Program events and programming, as well as the Honors Program's Summer School of Complex Systems.
","","Tuesday, December 8, 2020","0421015","","0","1","UCCS","Honors Program","Scholarships & Student Success"
"Steve Jones CMCI Tribute Fund","Lisa.Munro@Colorado.EDU","To provide support for the College of Media, Communication and Information (CMCI) at UCB in the areas that are important to Professor Steve Jones, at the moment of his retirement, including BuffSports Live and annual discretionary needs.
","","Friday, December 4, 2020","0121077","","0","1","CU Boulder","College of Media, Communication and Information",""
"Avielle Initiative Fund","KAILYN.GRAMLY@CUANSCHUTZ.EDU","To provide support for the National Mental Health Innovation Center at the University of Colorado Anschutz Medical Campus. The Fund will provide flexible resources.
","These resources include support for Avielle Initiative projects at the National Mental Health Innovation Center that leverage innovative and science-based technology to create resources for researchers, clinicians, organizations and individuals that improve the quality of clinical care, build empathy and empower people to improve their own wellbeing.
The initiative will also create ways to connect people in order to promote health, prevent illness, and eliminate barriers to access and support.
","","0221066","","0","1","CU Anschutz","School of Medicine, Neurology, National Mental Health Innovation Center","Science, Research & Innovation"
"Jeremy Richman Brain Health Research Endowed Fellowship Fund","KAILYN.GRAMLY@CUANSCHUTZ.EDU","To provide fellowship and internship support for students engaged in brain health research within the National Mental Health Innovation Center at the University of Colorado Anschutz Medical Campus.
","","Friday, December 4, 2020","0250020","","0","1","CU Anschutz","School of Medicine, Neurology, National Mental Health Innovation Center",""
"Computer Science Endowed Founder's Fund","Shayla.DeYoung@colorado.edu","To provide support for students who enrolled in the Department of Computer Science in the College Engineering and Applied Science at the University of Colorado Boulder.
","This Fund is being established in celebration of the Department of Computer Science's 50th anniversary and in honor of founding and early faculty members. 
Student support may include, but is not limited to, scholarships, professional development and enrichment experiences.
","","0151664","","0","1","CU Boulder","College of Engineering and Applied Science","Scholarships & Student Success"
"DigitalGlobe Foundation Endowed Scholarship Fund in Memory of Scott Smith","Jeanie.Hunter@Colorado.EDU","To provide undergraduate scholarship awards for junior or senior year students enrolled in the Department of Geography in the College of Arts and Sciences at UCB.
","","Tuesday, December 1, 2020","0151603","","0","1","CU Boulder","College of Arts and Sciences, Geography","Scholarships & Student Success"
"Steve Ollanik Endowed Scholarship Fund for Teachers","","To provide scholarship support at the University of Colorado Boulder.  Recipients must be in their student-teaching semester, enrolled in the school, and committed to working in schools with a high percentage of bilingual or multicultural students.
","","Sunday, November 29, 2020","0151222","","0","1","CU Boulder","School of Education","Scholarships & Student Success"
"Kohn-Damrauer Endowed Chemistry Lectureship Fund","MONICA.CUTLER@UCDENVER.EDU","To provide support for an annual lecture in the department of chemistry at the University of Colorado Denver.
","Drs. Lenore and Bob Damrauer established the Kohn-Damrauer Endowed Chemistry Lectureship Fund in 2018 in honor of their parents, Martha and Karl Kohn and Rose and Clarence “Butch” Damrauer.
Gifts in memory of Lennie Damrauer will support this fund and honor her legacy at CU Denver.
","","0350165","","0","1","CU Denver","College of Liberal Arts and Sciences","Community & Society"
"Damrauer Endowed Lectureship Fund","monica.cutler@ucdenver.edu","To provide support for the creation and continued financial support of the lectures to take place at least annually at University of Colorado Denver.
","","Tuesday, November 24, 2020","0350122","","0","1","CU Denver","","Community & Society"
"Harold F. Walton Seminar Fund","Christine.HerreraODell@Colorado.EDU","To provide a freshman seminar in the Department of Spanish and Portuguese at the University of Colorado Boulder.
","The Department of Spanish and Portuguese at the University of Colorado Boulder is a vibrant, multicultural, diverse community of scholars, students, and staff deeply engaged in the study of the languages, cultures, societies, literatures and arts of Latin America, the Iberian Peninsula and the growing US Latinx population.
When you give to the Department of Spanish and Portuguese, you are helping to expand student learning opportunities, assisting in the training of secondary language teachers, and providing new avenues for faculty research and staff professional development.
","","0150245","","0","1","CU Boulder","College of Arts and Sciences, Spanish and Portuguese","Scholarships & Student Success"
"Elizabeth Brower Fund for Special Programs in Spanish and Portugese","Christine.HerreraODell@Colorado.EDU","To support the development of improved methods for the teaching of Spanish and to assist students who upon graduation from UCB will be teaching Spanish.
","The Department of Spanish and Portuguese at the University of Colorado Boulder is a vibrant, multicultural, diverse community of scholars, students, and staff deeply engaged in the study of the languages, cultures, societies, literatures and arts of Latin America, the Iberian Peninsula and the growing US Latinx population.
When you give to the Department of Spanish and Portuguese, you are helping to expand student learning opportunities, assisting in the training of secondary language teachers, and providing new avenues for faculty research and staff professional development.
","","0159001","","0","1","CU Boulder","College of Arts and Sciences, Spanish and Portuguese","Scholarships & Student Success"
"College of Business Helping Hand Fund","jhusman@uccs.edu","To provide assistance to students experiencing unexpected hardships and financial emergencies that are impacting their educational success.  Students must be actively pursuing a College of Business education at UCCS.
","","Thursday, November 19, 2020","0421509","","0","1","UCCS","College of Business","Scholarships & Student Success"
"Chicanx/Latinx Library Collections Fund","","To support collection growth, management, preservation, and digitization of archival/other collections focused on Chicanx & Latinx histories and BIPOC or underrepresented communities at UCB. If $25,000 is reached, the fund will convert to an endowment.
","","Thursday, November 19, 2020","0121008","","0","1","CU Boulder","Libraries","Community & Society"
"BioFrontiers Pandemic Research Fund","","To provide support for pandemic research such as COVID-19, including recruiting and general support for faculty, graduate students and staff, events and research related expenses and activities at the UCB BioFrontiers Institute.
","","Thursday, November 19, 2020","0126091","","0","1","CU Boulder","BioFrontiers Institute","Science, Research & Innovation"
"MOSAIC Capital Fund","ddickers@uccs.edu","To provide support for capital improvements to the physical space used for the Multicultural Office for Student Access, Inclusiveness and Community (MOSAIC) at the University of Colorado Colorado Springs.
","","Thursday, November 19, 2020","0421013","","0","1","UCCS","Vice Chancellor for Administration and Finance (VCAF)","Community & Society"
"Dean's Opportunity Fund","MONICA.CUTLER@UCDENVER.EDU","To provide discretionary support for the Dean of the Business School including special projects, research, entertainment and donor cultivation.
","","Monday, November 16, 2020","0321625","","0","1","CU Denver","Business School",""
"CU Denver Collegiate Recovery Community Grant Fund","MONICA.CUTLER@UCDENVER.EDU","To provide support for the Collegiate Recovery Community (CRC) to hold recovery meetings, prosocial events, and peer support activities to build a community with people looking to live a better lifestyle and that have a personal connection to recovery.
","","Monday, November 16, 2020","0322027","","0","1","CU Denver","Collegiate Recovery Community","Community & Society"
"EKS&H Plante Moran-Dave Steiner Accounting Faculty Fellowship Endowed Fund","Beverly.Coody@Colorado.EDU","To provide support for outstanding Accounting faculty at the CU Boulder Leeds School of Business.
","","Monday, November 16, 2020","0154485","","0","1","CU Boulder","Leeds School of Business",""
"Daniel James Reed Memorial Fund","","To provide support for the College of Engineering & Applied Science at the University of Colorado Boulder in memory of Daniel James Reed.
","Gifts to this endowed fund support undergraduate scholarship awards for students enrolled in the college.
","","0126096","","0","0","CU Boulder","College of Engineering and Applied Science",""
"Art and Art History Diversity, Equity & Inclusion Scholarship Fund","","To provide scholarship awards for students enrolled in the Department of Art and Art History who help diversify the student body and/or instill the principles of inclusiveness in the Department at the University of Colorado Boulder.
","","Tuesday, November 10, 2020","0126095","","0","0","CU Boulder","College of Arts and Sciences, Art and Art History","Scholarships & Student Success"
"Jacqueline's Wish Fund","TAYLOR.STIMPSON@CUANSCHUTZ.EDU","To provide a financial award, to be known as Jacqueline's Wish for the Heart, to early career investigators doing outstanding research in heart disease that is gender specific to women at the University of Colorado Anschutz Medical Campus.
","","Thursday, November 5, 2020","0250171","","0","1","CU Anschutz","Center for Women's Health Research","Science, Research & Innovation"
"Real Estate Center Alumni Scholarship Fund","Beverly.Coody@Colorado.EDU","To provide scholarship awards for students enrolled in the Leeds School of Business who are studying, or have the intention to study, real estate at the University of Colorado Boulder.
","Through this scholarship, alumni are encouraging first-generation college students and those from diverse backgrounds to pursue a career in real estate.
","","0126093","1000","0","1","CU Boulder","CU Real Estate Center, Leeds School of Business",""
"Crisp Museum Herbarium Fund","Christine.HerreraODell@Colorado.EDU","To support the Museum Herbarium at the University of Colorado Boulder in memory of Katherine Crisp.
","","Thursday, November 5, 2020","0159032","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"Collie Public Museum Endowment","Christine.HerreraODell@Colorado.EDU","To provide funds for the unrestricted use of the Museum at CU Boulder in memory of Marie Bard Collie, Joseph Edward Collie, and Charlotte Collie.
","","Thursday, November 5, 2020","0159031","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"Walker Van Riper Scholarship Fund","Christine.HerreraODell@Colorado.EDU","To provide scholarships to students working in the museum who are studying Natural Science or Natural History at the University of Colorado Boulder.
","","Thursday, November 5, 2020","0159022","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Scholarships & Student Success"
"Barbara and Joe Ben Wheat Museum Fund","Christine.HerreraODell@Colorado.EDU","To provide funding for Museum artifact acquisition and maintenance; faculty support; student support; program development and support; program operations; facility enhancement; and capital construction.
","","Thursday, November 5, 2020","0154441","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Community & Society"
"Bray Fossil Egg Fund","Christine.HerreraODell@Colorado.EDU","To provide funds for research and book publication the University of Colorado Boulder Museum.
","","Thursday, November 5, 2020","0154151","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"Museum Zoology Fund","Christine.HerreraODell@Colorado.EDU","To provide funds for travel, acquisition and care of zoological collections for the Museum at the University of Colorado Boulder.
","","Thursday, November 5, 2020","0154043","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"Museum Vertebrate Paleontology Fund","Christine.HerreraODell@Colorado.EDU","To support travel and acquisitions/expansion of the geological section of the Museum at the University of Colorado Boulder.
","","Thursday, November 5, 2020","0154040","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"William A. Weber Endowed Fund for Children's Education in Natural Sciences","Christine.HerreraODell@Colorado.EDU","To support natural science education programs for children at the University of Colorado Museum of Natural History.
","","Thursday, November 5, 2020","0151101","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History","Community & Society"
"Frontotemporal and Related Dementias Research Fund","","To provide support for frontotemporal dementia (FTD) and related dementias research in the Department of Neurology at the University of Colorado Anschutz Medical Campus.
","","Wednesday, November 4, 2020","0223404","","0","1","CU Anschutz","School of Medicine, Neurology","Science, Research & Innovation"
"College of Music Diversity, Equity and Inclusion Endowed Fund","caitlin.stokes@colorado.edu","To provide general support for diversity, equity and inclusion programming in the College of Music at the University of Colorado Boulder.
","Gifts to this fund provide long-term sustainable support for diversity, equity and inclusion initiatives at the College of Music. Click here to make a gift that is available for immediate use.
","","0151660","","0","1","CU Boulder","College Music","Arts & Culture"
"Endowed Fund for Southwest Anthropological Research at the CU Museum","Christine.HerreraODell@Colorado.EDU","To support anthropological research in the Greater Southwest conducted by the University of Colorado Museum at Boulder.
","","Thursday, October 29, 2020","0150722","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"Joe Ben Wheat Research Endowment","Christine.HerreraODell@Colorado.EDU","To provide research funds for students in Archaeology, and/or Anthropology of the Southwest and Museum Studies in honor of Joe Ben Wheat.
","","Thursday, October 29, 2020","0150518","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"William H. Burt Museum Fund","Christine.HerreraODell@Colorado.EDU","To provide support to the University of Colorado Museum on the Boulder Campus.
","","Thursday, October 29, 2020","0150140","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Science, Research & Innovation"
"G. Robert Clark Endowment","","To support participation by Native American students who are members of a federally recognized tribe in the Museum and Field Studies Program at the University of Colorado Boulder.
","","Tuesday, October 27, 2020","0150056","","0","1","CU Boulder","Research and Innovation Office, Museum of Natural History, Research Institute","Scholarships & Student Success"
"College of Music Diversity, Equity and Inclusion Endowed Fund","","To provide general support for diversity, equity and inclusion programming in the College of Music at the University of Colorado Boulder.
","Gifts to this fund provide immediate support for diversity, equity and inclusion initiatives at the College of Music and are not invested as part of the endowment. Click here to make a gift to the endowment.
","","0131660","","0","1","CU Boulder","College Music","Arts & Culture"
"Betty J. Schauble Memorial Fund","","To provide support for research in heart failure at the Center for Womens Health Research at the University of Colorado Anschutz Medical Campus, in memory of Betty J. Schauble.
","","Tuesday, October 27, 2020","0223406","","0","1","CU Anschutz","",""
"Graduate Support Fund for Diversity and Inclusion in Mechanical Engineering","","To provide support for the creation and ongoing administration of a student group in the Department of Mechanical Engineering at the University of Colorado Boulder who encourage black, indigenous, and people of color (BIPOC) student participation.
","","Tuesday, October 27, 2020","0126081","","0","1","CU Boulder","College of Engineering and Applied Science","Scholarships & Student Success"
"Comprehensive Women's Health Center Fund","","To provide support for the mission of the Comprehensive Women's Health Center through clinical services, research and education at the University of Colorado Anschutz Medical Campus.
","","Tuesday, October 27, 2020","0222043","","0","1","CU Anschutz","School of Medicine, Obstetrics and Gynecology","Health & Wellness"
"Computer Science Founder's Fund","","To provide support for students who enrolled in the Department of Computer Science in the College Engineering and Applied Science at the UCB. If $25,000 is reached, the fund will convert to an endowment.
","","Tuesday, October 27, 2020","0126089","","0","0","CU Boulder","College of Engineering and Applied Science","Scholarships & Student Success"
"CU Real Estate and Technology Initiative Fund","Beverly.Coody@Colorado.EDU","To provide support for activities and positions at the University of Colorado Real Estate Center that promote a focus on technology's impact on the real estate industry.
","","Monday, October 19, 2020","0125534","","0","1","CU Boulder","CU Real Estate Center, Leeds School of Business",""
"Peyton Linafelter Memorial Fund","","To provide support for the Division of Gynecologic Oncology at the University of Colorado Anschutz Medical Campus, in memory of Peyton Linafelter.
","View Peyton's obituary >

","","0223403","","0","1","CU Anschutz","",""
"Debbie and Mark Kennedy First Generation Endowed Scholarship Fund at CU Denver","miranda.clark@cu.edu","To provide undergraduate scholarship awards for first generation students at the University of Colorado Denver who are the first in their family to pursue a bachelor's degree.
","","Wednesday, October 7, 2020","0350180","","0","1","CU Denver","Office of Financial Aid and Scholarships","Scholarships & Student Success"
"Debbie and Mark Kennedy First Generation Endowed Scholarship Fund at UCCS","miranda.clark@cu.edu","To provide undergraduate scholarship awards for first generation students at the University of Colorado Colorado Springs who are the first in their family to pursue a bachelor's degree.
","","Wednesday, October 7, 2020","0450125","","0","1","UCCS","Office of Financial Aid and Student Employment","Scholarships & Student Success"
"Debbie and Mark Kennedy First Generation Endowed Scholarship Fund at CU Boulder","miranda.clark@cu.edu","To provide undergraduate scholarship awards for first generation students at the University of Colorado Boulder who are the first in their family to pursue a bachelor's degree.
","","Wednesday, October 7, 2020","0151644","","0","1","CU Boulder","Campus Programs","Scholarships & Student Success"
"Debbie and Mark Kennedy First Generation Endowed Scholarship Fund at the Anschutz Medical Campus","miranda.clark@cu.edu","To provide scholarship awards for first generation students at the University of Colorado Anschutz Medical Campus who are the first in their family to pursue a degree or higher.
","","Wednesday, October 7, 2020","0250446","","0","1","CU Anschutz","Vice Chancellor for Health Affairs","Scholarships & Student Success"
"Carol Ann Andersen Memorial Fund","stacey.boehmer@cuanschutz.edu","To provide support for the Alzheimer's and Cognition Center in the Department of Neurology at the University of Colorado Anschutz Medical Campus.
","","Monday, October 5, 2020","0223401","","0","1","CU Anschutz","",""
